,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_122,AG0699_rowi_122,Willowbank,wb_hatchery,brooder_box_hutch,122,122,kiwi_poo,kiwi_poo_treatment,21/01/2021,44217,830,Control - Hatchery,Hatchery,TimTam,R.FA2021.2,negative,NA,Control,Control,17,NA,17,<20,295.7,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_TimTam
AG0699_rowi_123,AG0699_rowi_123,Willowbank,wb_hatchery,brooder_box_hutch,123,123,kiwi_poo,kiwi_poo_treatment,21/01/2021,44217,830,Control - Hatchery,Hatchery,Hokey_Pokey,R.CU2021.2,negative,NA,Control,Control,23,NA,23,<30,368.2,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Hokey_Pokey
AG0699_rowi_124,AG0699_rowi_124,Willowbank,wb_hatchery,brooder_box_hutch,124,124,kiwi_poo,kiwi_poo_treatment,21/01/2021,44217,830,Control - Hatchery,Hatchery,Galaxy,R.FP2021.2,negative,NA,Control,Control,17,NA,17,<20,247.3,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,positive,NA,NA,negative,negative,Control_Galaxy
AG0699_rowi_125,AG0699_rowi_125,Willowbank,wb_hatchery,brooder_box_hutch,125,125,kiwi_poo,kiwi_poo_treatment,21/01/2021,44217,830,Control - Hatchery,Hatchery,Jaffa,R.K22021.2,negative,NA,Control,Control,20,NA,20,<20,322.2,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Jaffa
AG0699_rowi_126,AG0699_rowi_126,Willowbank,runs,run_1_hutch,126,126,kiwi_poo,kiwi_poo_control,27/01/2021,44223,830,Control - Runs,Runs,Oku_Jewel,R.DX2021.1 / R.DF2021.1,positive,c7,Control,Control,69,69,69,<70,715,5,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Oku_Jewel
AG0699_rowi_127,AG0699_rowi_127,Willowbank,runs,run_2_hutch,127,127,kiwi_poo,kiwi_poo_control,27/01/2021,44223,830,Control - Runs,Runs,Ahi_Naki,R.FB2021.1 / R.BT2021.1,positive,c1,Control,Control,56,63,59.5,<60,625,4,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,respiratory problems,NA,NA,NA,negative,negative,voriconazole,NA,positive,negative,Control_Ahi_Naki
AG0699_rowi_128,AG0699_rowi_128,Willowbank,runs,run_5_hutch,128,128,kiwi_poo,kiwi_poo_control,27/01/2021,44223,830,Control - Runs,Runs,Snickers,R.EX2021.1,negative,NA,Control,Control,105,NA,105,<110,980,8,1,positive,baycox,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Snickers
AG0699_rowi_129,AG0699_rowi_129,Willowbank,runs,run_7_hutch,129,129,kiwi_poo,kiwi_poo_treatment,27/01/2021,44223,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,45,43,44,<50,475,3,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_130,AG0699_rowi_130,Willowbank,wb_hatchery,brooder_box_hutch,130,130,kiwi_poo,kiwi_poo_treatment,27/01/2021,44223,830,Control - Hatchery,Hatchery,TimTam,R.FA2021.2,negative,NA,Control,Control,23,NA,23,<30,245,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_TimTam
AG0699_rowi_131,AG0699_rowi_131,Willowbank,wb_hatchery,brooder_box_hutch,131,131,kiwi_poo,kiwi_poo_treatment,27/01/2021,44223,830,Control - Hatchery,Hatchery,Hokey_Pokey,R.CU2021.2,negative,NA,Control,Control,29,NA,29,<30,437.5,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Hokey_Pokey
AG0699_rowi_132,AG0699_rowi_132,Willowbank,wb_hatchery,brooder_box_hutch,132,132,kiwi_poo,kiwi_poo_treatment,27/01/2021,44223,830,Control - Hatchery,Hatchery,Galaxy,R.FP2021.2,negative,NA,Control,Control,23,NA,23,<30,307.8,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Control_Galaxy
AG0699_rowi_133,AG0699_rowi_133,Willowbank,wb_hatchery,brooder_box_hutch,133,133,kiwi_poo,kiwi_poo_treatment,27/01/2021,44223,830,Control - Hatchery,Hatchery,Jaffa,R.K22021.2,negative,NA,Control,Control,26,NA,26,<30,377.5,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Jaffa
AG0699_rowi_134,AG0699_rowi_134,Willowbank,transport_box,transport_box,134,134,kiwi_poo,kiwi_poo_treatment,29/01/2021,44225,1400,Treatment - Transitionary,Transitionary,Bobby,R.DG2021.2,negative,NA,Treatment,Treatment,39,NA,39,<40,297,1,3,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby
AG0699_rowi_135,AG0699_rowi_135,Willowbank,transport_box,transport_box,135,135,kiwi_poo,kiwi_poo_control,29/01/2021,44225,1400,Control - Runs,Runs,Proudfoot,R.FA2021.1,negative,NA,Control,Control,117,NA,117,<120,920,7,1,positive,baycox,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot
