,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_168,AG0699_rowi_168,Willowbank,runs,run_1_hutch,168,168,kiwi_poo,kiwi_poo_control,11/02/2021,44238,830,Control - Runs,Runs,Oku_Jewel,R.DX2021.1 / R.DF2021.1,positive,c7,Control,Control,84,84,84,<90,832.5,6,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Oku_Jewel
AG0699_rowi_169,AG0699_rowi_169,Willowbank,runs,run_2_hutch,169,169,kiwi_poo,kiwi_poo_control,11/02/2021,44238,830,Control - Runs,Runs,Ahi_Naki,R.FB2021.1 / R.BT2021.1,positive,c1,Control,Control,71,78,74.5,<80,770,6,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,respiratory problems,NA,NA,NA,negative,negative,voriconazole,NA,positive,negative,Control_Ahi_Naki
AG0699_rowi_170,AG0699_rowi_170,Willowbank,runs,run_3_hutch,170,170,kiwi_poo,kiwi_poo_treatment,11/02/2021,44238,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,52,36,44,<50,440,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_171,AG0699_rowi_171,Willowbank,runs,run_4_hutch,171,171,kiwi_poo,kiwi_poo_treatment,11/02/2021,44238,830,Treatment - Runs,Runs,Hokey_Pokey_Jaffa,R.CU2021.2 / R.K22021.2,positive,t2,Treatment,Treatment,44,41,42.5,<50,560,4,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey_Jaffa
AG0699_rowi_172,AG0699_rowi_172,Willowbank,runs,run_5_hutch,172,172,kiwi_poo,kiwi_poo_control,11/02/2021,44238,830,Control - Runs,Runs,Snickers_Proudfoot,R.EX2021.1 / R.FA2021.1,positive,c9,Control,Control,120,130,125,<130,1072.5,9,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Snickers_Proudfoot
AG0699_rowi_173,AG0699_rowi_173,Willowbank,runs,run_6_hutch,173,173,kiwi_poo,kiwi_poo_treatment,11/02/2021,44238,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,87,NA,87,<90,755,6,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_174,AG0699_rowi_174,Willowbank,runs,run_7_hutch,174,174,kiwi_poo,kiwi_poo_treatment,11/02/2021,44238,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,60,58,59,<60,595,4,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_175,AG0699_rowi_175,Willowbank,runs,run_8_hutch,175,175,kiwi_poo,kiwi_poo_treatment,11/02/2021,44238,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,39,39,39,<40,410,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_TimTam_Galaxy
AG0699_rowi_177,AG0699_rowi_177,Willowbank,runs,run_1_hutch,177,177,kiwi_poo,kiwi_poo_control,17/02/2021,44244,830,Control - Runs,Runs,Oku_Jewel,R.DX2021.1 / R.DF2021.1,positive,c7,Control,Control,90,90,90,<90,860,7,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Oku_Jewel
AG0699_rowi_178,AG0699_rowi_178,Willowbank,runs,run_2_hutch,178,178,kiwi_poo,kiwi_poo_control,17/02/2021,44244,830,Control - Runs,Runs,Ahi_Naki,R.FB2021.1 / R.BT2021.1,positive,c1,Control,Control,77,84,80.5,<90,800,6,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,respiratory problems,NA,NA,NA,negative,negative,voriconazole,NA,positive,negative,Control_Ahi_Naki
AG0699_rowi_179,AG0699_rowi_179,Willowbank,runs,run_3_hutch,179,179,kiwi_poo,kiwi_poo_treatment,17/02/2021,44244,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,58,42,50,<50,497.5,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_180,AG0699_rowi_180,Willowbank,runs,run_4_hutch,180,180,kiwi_poo,kiwi_poo_treatment,17/02/2021,44244,830,Treatment - Runs,Runs,Hokey_Pokey_Jaffa,R.CU2021.2 / R.K22021.2,positive,t2,Treatment,Treatment,50,47,48.5,<50,600,4,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey_Jaffa
AG0699_rowi_181,AG0699_rowi_181,Willowbank,runs,run_5_hutch,181,181,kiwi_poo,kiwi_poo_control,17/02/2021,44244,830,Control - Runs,Runs,Snickers_Proudfoot,R.EX2021.1 / R.FA2021.1,positive,c9,Control,Control,126,136,131,<140,1095,9,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Snickers_Proudfoot
AG0699_rowi_182,AG0699_rowi_182,Willowbank,runs,run_6_hutch,182,182,kiwi_poo,kiwi_poo_treatment,17/02/2021,44244,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,93,NA,93,<100,780,6,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_183,AG0699_rowi_183,Willowbank,runs,run_7_hutch,183,183,kiwi_poo,kiwi_poo_treatment,17/02/2021,44244,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,66,64,65,<70,655,5,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_184,AG0699_rowi_184,Willowbank,runs,run_8_hutch,184,184,kiwi_poo,kiwi_poo_treatment,17/02/2021,44244,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,45,45,45,<50,425,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_TimTam_Galaxy
AG0699_rowi_185,AG0699_rowi_185,Willowbank,transport_box,transport_box,185,185,kiwi_poo,kiwi_poo_treatment,18/02/2021,44245,830,Treatment - Transitionary,Transitionary,Hukawai_Mere,R.FK2021.1,negative,NA,Treatment,Treatment,33,NA,33,<40,476,3,3,negative,NA,14/02/2021,44241,0.5,3/03/2021,44258,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hukawai_Mere
AG0699_rowi_186,AG0699_rowi_186,Willowbank,wild_chick_pens,holding_pen_1_hutch,186,186,kiwi_poo,kiwi_poo_treatment,18/02/2021,44245,830,Treatment - Transitionary,Transitionary,Hukawai_Mere,R.FK2021.1,negative,NA,Treatment,Treatment,33,NA,33,<40,476,3,1,negative,NA,14/02/2021,44241,0.5,3/03/2021,44258,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hukawai_Mere
AG0699_rowi_187,AG0699_rowi_187,Willowbank,runs,run_9_hutch,187,187,kiwi_poo,kiwi_poo_treatment,18/02/2021,44245,830,Treatment - Runs,Runs,Elo,R.BZ2021.1,negative,NA,Treatment,Treatment,49,NA,49,<50,650,5,1,negative,NA,7/02/2021,44234,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Elo
AG0699_rowi_188,AG0699_rowi_188,Willowbank,wild_chick_pens,holding_pen_1_hutch,188,188,kiwi_poo,kiwi_poo_treatment,19/02/2021,44246,830,Treatment - Transitionary,Transitionary,Hukawai_Mere,R.FK2021.1,negative,NA,Treatment,Treatment,34,NA,34,<40,485,3,1,negative,NA,14/02/2021,44241,0.5,3/03/2021,44258,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hukawai_Mere
AG0699_rowi_189,AG0699_rowi_189,Willowbank,runs,run_1_hutch,189,189,kiwi_poo,kiwi_poo_control,24/02/2021,44251,830,Control - Runs,Runs,Oku_Jewel,R.DX2021.1 / R.DF2021.1,positive,c7,Control,Control,97,97,97,<100,897.5,7,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Oku_Jewel
AG0699_rowi_190,AG0699_rowi_190,Willowbank,runs,run_2_hutch,190,190,kiwi_poo,kiwi_poo_control,24/02/2021,44251,830,Control - Runs,Runs,Ahi_Naki,R.FB2021.1 / R.BT2021.1,positive,c1,Control,Control,84,91,87.5,<90,865,7,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,respiratory problems,NA,NA,NA,negative,negative,voriconazole,NA,positive,negative,Control_Ahi_Naki
AG0699_rowi_191,AG0699_rowi_191,Willowbank,runs,run_3_hutch,191,191,kiwi_poo,kiwi_poo_treatment,24/02/2021,44251,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,65,49,57,<60,520,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_192,AG0699_rowi_192,Willowbank,runs,run_4_hutch,192,192,kiwi_poo,kiwi_poo_treatment,24/02/2021,44251,830,Treatment - Runs,Runs,Hokey_Pokey_Jaffa,R.CU2021.2 / R.K22021.2,positive,t2,Treatment,Treatment,57,54,55.5,<60,677.5,5,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey_Jaffa
AG0699_rowi_193,AG0699_rowi_193,Willowbank,runs,run_5_hutch,193,193,kiwi_poo,kiwi_poo_control,24/02/2021,44251,830,Control - Runs,Runs,Snickers_Proudfoot,R.EX2021.1 / R.FA2021.1,positive,c9,Control,Control,133,143,138,<140,1137.5,9,1,positive,baycox,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,positive,Control_Snickers_Proudfoot
AG0699_rowi_194,AG0699_rowi_194,Willowbank,runs,run_6_hutch,194,194,kiwi_poo,kiwi_poo_treatment,24/02/2021,44251,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,100,NA,100,<100,840,6,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_195,AG0699_rowi_195,Willowbank,runs,run_7_hutch,195,195,kiwi_poo,kiwi_poo_treatment,24/02/2021,44251,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,73,71,72,<80,695,5,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_196,AG0699_rowi_196,Willowbank,runs,run_8_hutch,196,196,kiwi_poo,kiwi_poo_treatment,24/02/2021,44251,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,51,51,51,<60,542.5,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_TimTam_Galaxy
AG0699_rowi_197,AG0699_rowi_197,Willowbank,runs,run_9_hutch,197,197,kiwi_poo,kiwi_poo_treatment,24/02/2021,44251,830,Treatment - Runs,Runs,Hukawai_Mere_Elo,R.FK2021.1 / R.BZ2021.1.1,positive,t3,Treatment,Treatment,39,55,47,<50,607.5,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hukawai_Mere_Elo
AG0699_rowi_198,AG0699_rowi_198,Willowbank,wild_chick_pens,holding_pen_1_hutch,198,198,kiwi_poo,kiwi_poo_treatment,20/02/2021,44247,830,Treatment - Transitionary,Transitionary,Hukawai_Mere,R.FK2021.1,negative,NA,Treatment,Treatment,35,NA,35,<40,490,3,1,negative,NA,14/02/2021,44241,0.5,3/03/2021,44258,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hukawai_Mere
AG0699_rowi_199,AG0699_rowi_199,Willowbank,runs,run_1_hutch,199,199,kiwi_poo,kiwi_poo_control,3/03/2021,44258,830,Control - Runs,Runs,Oku,R.DX2021.1,negative,NA,Control,Control,104,NA,104,<110,880,7,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Oku
AG0699_rowi_200,AG0699_rowi_200,Willowbank,runs,run_2_hutch,200,200,kiwi_poo,kiwi_poo_control,3/03/2021,44258,830,Control - Runs,Runs,Ahi_Naki,R.FB2021.1 / R.BT2021.1,positive,c1,Control,Control,91,98,94.5,<100,897.5,7,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,respiratory problems,NA,NA,NA,negative,negative,voriconazole,NA,positive,negative,Control_Ahi_Naki
AG0699_rowi_201,AG0699_rowi_201,Willowbank,runs,run_3_hutch,201,201,kiwi_poo,kiwi_poo_treatment,3/03/2021,44258,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,72,56,64,<70,570,4,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_202,AG0699_rowi_202,Willowbank,runs,run_4_hutch,202,202,kiwi_poo,kiwi_poo_treatment,3/03/2021,44258,830,Treatment - Runs,Runs,Hokey_Pokey_Jaffa,R.CU2021.2 / R.K22021.2,positive,t2,Treatment,Treatment,64,61,62.5,<70,717.5,5,1,positive,baycox,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey_Jaffa
AG0699_rowi_203,AG0699_rowi_203,Willowbank,runs,run_5_hutch,203,203,kiwi_poo,kiwi_poo_control,3/03/2021,44258,830,Control - Runs,Runs,Snickers_Proudfoot,R.EX2021.1 / R.FA2021.1,positive,c9,Control,Control,140,150,145,<150,1162.5,10,1,positive,baycox,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Control_Snickers_Proudfoot
AG0699_rowi_204,AG0699_rowi_204,Willowbank,runs,run_6_hutch,204,204,kiwi_poo,kiwi_poo_treatment,3/03/2021,44258,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,107,NA,107,<110,875,7,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_205,AG0699_rowi_205,Willowbank,runs,run_7_hutch,205,205,kiwi_poo,kiwi_poo_treatment,3/03/2021,44258,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,80,78,79,<80,725,5,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_206,AG0699_rowi_206,Willowbank,runs,run_8_hutch,206,206,kiwi_poo,kiwi_poo_treatment,3/03/2021,44258,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,58,58,58,<60,622.5,4,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_TimTam_Galaxy
AG0699_rowi_207,AG0699_rowi_207,Willowbank,runs,run_9_hutch,207,207,kiwi_poo,kiwi_poo_treatment,3/03/2021,44258,830,Treatment - Runs,Runs,Hukawai_Mere_Elo,R.FK2021.1 / R.BZ2021.1.1,positive,t3,Treatment,Treatment,46,62,54,<60,652.5,5,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hukawai_Mere_Elo
AG0699_rowi_208,AG0699_rowi_208,Willowbank,runs,run_1_hutch,208,208,kiwi_poo,kiwi_poo_control,11/03/2021,44266,830,Control - Runs,Runs,Oku,R.DX2021.1,negative,NA,Control,Control,112,NA,112,<120,945,7,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,positive,Control_Oku
AG0699_rowi_209,AG0699_rowi_209,Willowbank,runs,run_3_hutch,209,209,kiwi_poo,kiwi_poo_treatment,11/03/2021,44266,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,80,64,72,<80,627.5,4,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_210,AG0699_rowi_210,Willowbank,runs,run_4_hutch,210,210,kiwi_poo,kiwi_poo_treatment,11/03/2021,44266,830,Treatment - Runs,Runs,Hokey_Pokey_Jaffa,R.CU2021.2 / R.K22021.2,positive,t2,Treatment,Treatment,72,69,70.5,<80,810,6,1,positive,baycox,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey_Jaffa
AG0699_rowi_211,AG0699_rowi_211,Willowbank,runs,run_5_hutch,211,211,kiwi_poo,kiwi_poo_control,11/03/2021,44266,830,Control - Runs,Runs,Snickers_Proudfoot,R.EX2021.1 / R.FA2021.1,positive,c9,Control,Control,148,158,153,<160,1222.5,10,1,positive,baycox,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Control_Snickers_Proudfoot
AG0699_rowi_212,AG0699_rowi_212,Willowbank,runs,run_6_hutch,212,212,kiwi_poo,kiwi_poo_treatment,11/03/2021,44266,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,115,NA,115,<120,926,7,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,positive,Treatment_PigPen
AG0699_rowi_213,AG0699_rowi_213,Willowbank,runs,run_7_hutch,213,213,kiwi_poo,kiwi_poo_treatment,11/03/2021,44266,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,88,86,87,<90,782.5,6,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,"thrush, yolk sac infection",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,positive,Treatment_Light_Morehu
AG0699_rowi_214,AG0699_rowi_214,Willowbank,runs,run_8_hutch,214,214,kiwi_poo,kiwi_poo_treatment,11/03/2021,44266,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,66,66,66,<70,672.5,5,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,"weight loss, thrush",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,positive,Treatment_TimTam_Galaxy
AG0699_rowi_215,AG0699_rowi_215,Willowbank,runs,run_9_hutch,215,215,kiwi_poo,kiwi_poo_treatment,11/03/2021,44266,830,Treatment - Runs,Runs,Hukawai_Mere_Elo,R.FK2021.1 / R.BZ2021.1.1,positive,t3,Treatment,Treatment,54,70,62,<70,712.5,5,1,negative,NA,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,positive,Treatment_Hukawai_Mere_Elo
AG0699_rowi_216,AG0699_rowi_216,Willowbank,runs,run_1_hutch,216,216,kiwi_poo,kiwi_poo_control,17/03/2021,44272,830,Control - Runs,Runs,Oku,R.DX2021.1,negative,NA,Control,Control,118,NA,118,<120,995,8,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Control_Oku
AG0699_rowi_217,AG0699_rowi_217,Willowbank,runs,run_3_hutch,217,217,kiwi_poo,kiwi_poo_treatment,17/03/2021,44272,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,86,70,78,<80,675,5,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_218,AG0699_rowi_218,Willowbank,runs,run_6_hutch,218,218,kiwi_poo,kiwi_poo_treatment,17/03/2021,44272,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,121,NA,121,<130,975,8,1,positive,baycox,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,positive,Treatment_PigPen
AG0699_rowi_219,AG0699_rowi_219,Willowbank,runs,run_6_hutch,219,219,kiwi_poo,kiwi_poo_treatment,17/03/2021,44272,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,121,NA,121,<130,975,8,1,positive,baycox,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,positive,Treatment_PigPen
AG0699_rowi_220,AG0699_rowi_220,Willowbank,runs,run_7_hutch,220,220,kiwi_poo,kiwi_poo_treatment,17/03/2021,44272,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,94,92,93,<100,832.5,6,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,"thrush, yolk sac infection",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,positive,Treatment_Light_Morehu
AG0699_rowi_221,AG0699_rowi_221,Willowbank,runs,run_8_hutch,221,221,kiwi_poo,kiwi_poo_treatment,17/03/2021,44272,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,72,72,72,<80,750,6,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,"weight loss, thrush",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,positive,Treatment_TimTam_Galaxy
AG0699_rowi_222,AG0699_rowi_222,Willowbank,runs,run_9_hutch,222,222,kiwi_poo,kiwi_poo_treatment,17/03/2021,44272,830,Treatment - Runs,Runs,Hukawai_Mere_Elo,R.FK2021.1 / R.BZ2021.1.1,positive,t3,Treatment,Treatment,60,76,68,<70,762.5,6,1,negative,NA,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,positive,Treatment_Hukawai_Mere_Elo
AG0699_rowi_223,AG0699_rowi_223,Willowbank,runs,run_1_hutch,223,223,kiwi_poo,kiwi_poo_control,25/03/2021,44280,830,Control - Runs,Runs,Oku,R.DX2021.1,negative,NA,Control,Control,126,NA,126,<130,1112,9,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Control_Oku
AG0699_rowi_224,AG0699_rowi_224,Willowbank,runs,run_3_hutch,224,224,kiwi_poo,kiwi_poo_treatment,25/03/2021,44280,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,94,78,86,<90,710,5,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby_Kyla
AG0699_rowi_225,AG0699_rowi_225,Willowbank,runs,run_6_hutch,225,225,kiwi_poo,kiwi_poo_treatment,25/03/2021,44280,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,129,NA,129,<130,1000,8,1,positive,baycox,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_226,AG0699_rowi_226,Willowbank,runs,run_7_hutch,226,226,kiwi_poo,kiwi_poo_treatment,25/03/2021,44280,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,102,100,101,<110,860,7,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,"thrush, yolk sac infection",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,negative,Treatment_Light_Morehu
AG0699_rowi_227,AG0699_rowi_227,Willowbank,runs,run_8_hutch,227,227,kiwi_poo,kiwi_poo_treatment,25/03/2021,44280,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,80,80,80,<80,835,6,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,"weight loss, thrush",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,negative,Treatment_TimTam_Galaxy
